FullName,QualifyingTime (s),DriverCode
Lando Norris,75.096,NOR
Oscar Piastri,75.18,PIA
Max Verstappen,75.481,VER
George Russell,75.54599999999999,RUS
Yuki Tsunoda,75.67,TSU
Alex Albon,75.737,ALB
Charles Leclerc,75.755,LEC
Lewis Hamilton,75.973,HAM
Pierre Gasly,75.98,GAS
Carlos Sainz,76.062,SAI
Isack Hadjar,76.175,HAD
Fernando Alonso,76.453,ALO
Lance Stroll,76.483,STR
Jack Doohan,76.863,DOO
Gabriel Bortoleto,77.52,BOR
Kimi Antonelli,76.525,ANT
Nico Hulkenberg,76.57900000000001,HUL
Liam Lawson,77.094,LAW
Esteban Ocon,77.14699999999999,OCO
Ollie Bearman,,BEA
